date,district,latitude,longitude,rainfall_24h,rainfall_3day,rainfall_7day,max_daily_rain,forecast_rain,max_temperature,average_temperature,average_humidity,soil_moisture,max_wind_speed,heavy_rain,heatwave,flood
2021-01-28,Peshawar,34.0151,71.5249,1.11,1.65,1.98,1.54,0.03,16.45,10.29,64.93,0.132,31.89,0,0,0
2021-01-29,Peshawar,34.0151,71.5249,3.76,5.22,19.84,3.76,0.26,17.12,11.91,45.66,0.327,11.28,0,0,0
2021-01-30,Peshawar,34.0151,71.5249,2.03,3.02,3.59,2.03,1.19,19.25,13.41,64.44,0.201,9.32,0,0,0
2021-01-31,Peshawar,34.0151,71.5249,6.49,8.08,10.18,6.49,0.5,15.13,7.88,71.48,0.197,17.09,0,0,0
2021-02-01,Peshawar,34.0151,71.5249,0.56,5.81,7.55,3.39,0.59,17.3,9.44,53.05,0.296,23.52,0,0,0
2021-02-02,Peshawar,34.0151,71.5249,0.02,1.22,6.24,2.09,1.88,15.95,10.78,41.54,0.087,29.16,0,0,0
2021-02-03,Peshawar,34.0151,71.5249,0.15,0.52,1.22,2.15,1.16,16.98,11.76,47.4,0.186,21.98,0,0,0
2021-02-04,Peshawar,34.0151,71.5249,0.0,12.95,15.06,0.69,2.01,13.13,5.79,51.8,0.149,27.56,0,0,0
2021-02-05,Peshawar,34.0151,71.5249,0.0,2.04,2.09,0.95,0.07,17.29,10.05,42.59,0.189,15.71,0,0,0
2021-02-06,Peshawar,34.0151,71.5249,0.0,6.09,7.23,4.95,0.01,16.9,11.67,55.19,0.222,15.43,0,0,0
2021-02-07,Peshawar,34.0151,71.5249,0.99,4.56,7.29,1.48,1.05,24.76,18.93,42.88,0.191,4.16,0,0,0
2021-02-08,Peshawar,34.0151,71.5249,0.81,1.06,17.55,6.43,1.44,19.8,12.75,46.35,0.304,26.81,0,0,0
2021-02-09,Peshawar,34.0151,71.5249,3.55,9.58,9.79,3.55,0.57,9.15,1.24,75.31,0.229,17.23,0,0,0
2021-02-10,Peshawar,34.0151,71.5249,0.3,1.26,1.52,3.0,2.01,16.02,8.71,55.7,0.145,2.21,0,0,0
2021-02-11,Peshawar,34.0151,71.5249,4.12,6.92,8.08,4.12,1.16,17.33,10.77,43.77,0.21,27.41,0,0,0
2021-02-12,Peshawar,34.0151,71.5249,0.7,3.17,12.59,0.77,0.17,18.58,11.47,75.53,0.212,42.78,0,0,0
2021-02-13,Peshawar,34.0151,71.5249,0.84,2.33,4.92,3.52,0.51,14.05,7.19,75.02,0.098,14.56,0,0,0
2021-02-14,Peshawar,34.0151,71.5249,5.37,7.41,9.2,5.37,0.33,11.59,5.56,62.32,0.208,22.64,0,0,0
2021-02-15,Peshawar,34.0151,71.5249,0.0,0.64,0.83,0.28,0.39,10.26,4.17,52.13,0.254,15.28,0,0,0
2021-02-16,Peshawar,34.0151,71.5249,1.91,4.88,5.26,3.1,3.04,19.41,12.16,45.69,0.159,10.39,0,0,0
2021-02-17,Peshawar,34.0151,71.5249,0.49,3.38,5.45,0.93,1.65,19.41,11.72,40.18,0.34,23.96,0,0,0
2021-02-18,Peshawar,34.0151,71.5249,0.39,2.67,3.92,0.47,0.57,11.75,5.77,45.18,0.26,22.05,0,0,0
2021-02-19,Peshawar,34.0151,71.5249,0.54,0.81,4.27,1.33,1.64,14.45,8.36,44.97,0.225,30.28,0,0,0
2021-02-20,Peshawar,34.0151,71.5249,5.96,8.75,9.97,5.96,0.2,14.47,8.62,48.8,0.219,8.35,0,0,0
2021-02-21,Peshawar,34.0151,71.5249,5.56,5.91,8.2,5.56,2.41,13.1,6.1,47.01,0.21,21.01,0,0,0
2021-02-22,Peshawar,34.0151,71.5249,0.0,4.4,5.33,0.59,0.66,14.17,7.33,50.4,0.217,1.71,0,0,0
2021-02-23,Peshawar,34.0151,71.5249,0.48,2.77,3.01,0.62,0.17,13.59,6.55,66.4,0.197,26.53,0,0,0
2021-02-24,Peshawar,34.0151,71.5249,0.3,1.58,13.52,2.66,4.02,16.68,11.14,56.34,0.244,13.75,0,0,0
2021-02-25,Peshawar,34.0151,71.5249,2.27,2.72,9.86,2.27,0.21,18.17,11.6,70.52,0.259,12.39,0,0,0
2021-02-26,Peshawar,34.0151,71.5249,2.04,3.78,5.91,2.04,0.43,9.68,1.98,55.24,0.231,0.0,0,0,0
2021-02-27,Peshawar,34.0151,71.5249,0.97,1.34,13.99,1.48,0.49,18.04,11.44,73.71,0.252,16.99,0,0,0
2021-02-28,Peshawar,34.0151,71.5249,0.06,0.92,7.05,0.06,1.01,14.61,7.15,67.44,0.183,7.17,0,0,0
2021-03-01,Peshawar,34.0151,71.5249,0.0,0.52,4.36,1.27,0.82,18.84,11.8,59.21,0.09,26.97,0,0,0
2021-03-02,Peshawar,34.0151,71.5249,2.44,2.78,5.42,2.44,0.76,35.91,27.14,63.85,0.147,18.77,0,0,0
2021-03-03,Peshawar,34.0151,71.5249,0.43,1.54,5.54,2.72,2.08,39.69,32.5,62.86,0.179,11.58,0,1,0
2021-03-04,Peshawar,34.0151,71.5249,0.0,0.81,2.33,0.77,2.02,33.35,25.99,42.72,0.153,2.97,0,0,0
2021-03-05,Peshawar,34.0151,71.5249,0.0,1.38,3.01,2.46,0.36,21.91,13.03,62.75,0.157,6.15,0,0,0
2021-03-06,Peshawar,34.0151,71.5249,5.27,6.66,9.38,5.27,1.11,26.43,19.85,57.33,0.211,10.65,0,0,0
2021-03-07,Peshawar,34.0151,71.5249,0.0,2.99,4.8,0.74,0.46,21.11,14.57,58.06,0.112,8.78,0,0,0
2021-03-08,Peshawar,34.0151,71.5249,0.03,0.08,0.59,1.26,0.86,23.48,15.46,44.08,0.128,18.91,0,0,0
2021-03-09,Peshawar,34.0151,71.5249,0.0,0.21,1.05,1.28,1.55,35.23,28.62,39.89,0.187,35.09,0,0,0
2021-03-10,Peshawar,34.0151,71.5249,0.0,0.05,0.65,0.87,0.44,24.39,17.61,70.74,0.22,0.98,0,0,0
2021-03-11,Peshawar,34.0151,71.5249,0.48,1.53,3.94,0.57,0.28,24.28,15.67,60.99,0.225,14.75,0,0,0
2021-03-12,Peshawar,34.0151,71.5249,0.05,0.1,1.04,0.78,0.8,27.85,18.9,52.24,0.092,15.81,0,0,0
2021-03-13,Peshawar,34.0151,71.5249,0.0,4.91,5.29,0.86,0.26,32.15,25.53,62.09,0.266,27.56,0,0,0
2021-03-14,Peshawar,34.0151,71.5249,0.0,4.92,6.54,0.48,0.59,29.59,23.34,44.11,0.122,19.65,0,0,0
2021-03-15,Peshawar,34.0151,71.5249,0.0,0.88,4.69,0.35,0.67,29.47,21.27,57.77,0.212,2.85,0,0,0
2021-03-16,Peshawar,34.0151,71.5249,0.19,2.0,3.22,1.47,0.09,26.83,18.76,81.56,0.094,11.8,0,0,0
2021-03-17,Peshawar,34.0151,71.5249,1.11,3.48,4.43,1.11,0.36,26.63,20.07,64.31,0.233,15.96,0,0,0
2021-03-18,Peshawar,34.0151,71.5249,1.14,3.29,6.83,1.89,0.23,29.15,22.61,58.12,0.236,16.07,0,0,0
2021-03-19,Peshawar,34.0151,71.5249,0.7,1.4,9.15,3.54,2.31,27.14,20.18,55.45,0.141,19.01,0,0,0
2021-03-20,Peshawar,34.0151,71.5249,0.0,2.38,3.63,1.29,0.05,34.23,27.28,57.95,0.218,17.26,0,0,0
2021-03-21,Peshawar,34.0151,71.5249,0.0,0.05,6.17,0.02,1.66,24.41,16.97,76.14,0.237,17.51,0,0,0
2021-03-22,Peshawar,34.0151,71.5249,0.96,2.04,3.69,1.34,0.22,20.28,13.39,41.22,0.078,5.34,0,0,0
2021-03-23,Peshawar,34.0151,71.5249,0.0,5.99,10.62,0.09,0.43,26.75,18.91,65.12,0.279,27.97,0,0,0
2021-03-24,Peshawar,34.0151,71.5249,0.0,0.39,1.14,0.21,1.21,34.1,26.01,46.44,0.175,11.99,0,0,0
2021-03-25,Peshawar,34.0151,71.5249,0.0,1.54,4.24,0.87,0.08,23.94,15.27,49.18,0.205,23.67,0,0,0
2021-03-26,Peshawar,34.0151,71.5249,0.0,1.05,2.45,0.3,1.03,24.41,15.86,58.36,0.02,8.04,0,0,0
2021-03-27,Peshawar,34.0151,71.5249,1.24,2.1,5.5,1.24,0.25,29.95,21.4,71.63,0.207,20.72,0,0,0
2021-03-28,Peshawar,34.0151,71.5249,0.7,2.98,5.87,1.4,0.14,26.16,19.16,57.2,0.155,18.96,0,0,0
2021-03-29,Peshawar,34.0151,71.5249,1.28,2.7,2.72,1.28,0.77,20.2,12.3,66.19,0.243,16.71,0,0,0
2021-03-30,Peshawar,34.0151,71.5249,0.93,2.49,12.38,0.93,0.8,24.77,17.86,57.91,0.214,16.4,0,0,0
2021-03-31,Peshawar,34.0151,71.5249,0.0,1.94,2.08,2.05,2.9,24.21,15.93,60.66,0.157,0.0,0,0,0
2021-04-01,Peshawar,34.0151,71.5249,0.65,1.83,2.79,5.85,0.44,29.2,21.12,47.47,0.225,25.48,0,0,0
2021-04-02,Peshawar,34.0151,71.5249,2.51,2.84,4.54,2.88,0.44,19.37,10.42,44.62,0.225,13.35,0,0,0
2021-04-03,Peshawar,34.0151,71.5249,0.0,0.06,3.23,0.46,1.6,28.71,20.4,61.85,0.195,19.86,0,0,0
2021-04-04,Peshawar,34.0151,71.5249,0.0,0.07,7.68,0.96,1.27,23.62,17.02,82.01,0.164,14.89,0,0,0
2021-04-05,Peshawar,34.0151,71.5249,0.0,3.19,4.31,0.61,0.01,24.74,16.94,18.64,0.23,6.25,0,0,0
2021-04-06,Peshawar,34.0151,71.5249,1.01,1.09,3.06,1.01,0.22,26.98,19.13,37.62,0.197,59.05,0,0,0
2021-04-07,Peshawar,34.0151,71.5249,0.23,0.41,1.71,0.23,0.07,27.98,19.91,39.06,0.133,19.58,0,0,0
2021-04-08,Peshawar,34.0151,71.5249,0.0,2.02,5.7,0.03,2.2,36.06,27.45,60.37,0.233,20.08,0,0,0
2021-04-09,Peshawar,34.0151,71.5249,1.19,1.35,8.11,1.19,1.36,29.01,20.81,87.74,0.171,11.13,0,0,0
2021-04-10,Peshawar,34.0151,71.5249,0.0,7.45,8.68,0.2,1.25,41.83,33.67,53.55,0.21,15.96,0,1,0
2021-04-11,Peshawar,34.0151,71.5249,0.64,0.79,0.88,0.64,0.5,31.66,24.39,68.1,0.095,3.29,0,0,0
2021-04-12,Peshawar,34.0151,71.5249,0.0,4.04,6.63,0.58,1.03,18.84,11.06,46.41,0.268,26.04,0,0,0
2021-04-13,Peshawar,34.0151,71.5249,0.0,2.52,9.71,0.2,0.22,28.62,21.14,50.63,0.242,12.04,0,0,0
2021-04-14,Peshawar,34.0151,71.5249,0.22,1.11,3.81,0.22,0.4,31.04,24.06,36.31,0.152,17.77,0,0,0
2021-04-15,Peshawar,34.0151,71.5249,0.1,0.64,0.87,0.19,0.59,25.7,18.96,73.51,0.231,21.8,0,0,0
2021-04-16,Peshawar,34.0151,71.5249,0.0,0.07,4.07,1.09,0.51,28.81,20.21,74.48,0.164,13.43,0,0,0
2021-04-17,Peshawar,34.0151,71.5249,0.0,1.52,9.79,0.04,0.1,26.05,18.53,61.73,0.261,17.77,0,0,0
2021-04-18,Peshawar,34.0151,71.5249,0.22,1.57,4.86,0.22,0.02,22.31,14.29,64.66,0.151,30.31,0,0,0
2021-04-19,Peshawar,34.0151,71.5249,0.0,2.36,7.82,2.89,0.92,31.81,24.1,59.61,0.257,24.5,0,0,0
2021-04-20,Peshawar,34.0151,71.5249,0.58,1.58,4.74,0.58,0.86,32.03,23.68,51.21,0.262,18.63,0,0,0
2021-04-21,Peshawar,34.0151,71.5249,0.02,0.81,4.11,1.65,1.15,33.45,27.09,51.08,0.169,15.12,0,0,0
2021-04-22,Peshawar,34.0151,71.5249,0.0,1.01,4.58,0.49,0.48,20.53,14.31,45.99,0.263,23.08,0,0,0
2021-04-23,Peshawar,34.0151,71.5249,0.12,1.08,7.05,0.73,0.52,21.22,14.02,32.01,0.248,34.52,0,0,0
2021-04-24,Peshawar,34.0151,71.5249,0.95,4.3,8.1,3.11,0.01,25.74,16.96,60.88,0.166,12.75,0,0,0
2021-04-25,Peshawar,34.0151,71.5249,0.0,0.67,1.77,1.62,0.62,34.57,27.75,66.6,0.113,13.2,0,0,0
2021-04-26,Peshawar,34.0151,71.5249,0.64,1.04,3.28,1.23,0.09,33.99,26.34,53.87,0.178,11.56,0,0,0
2021-04-27,Peshawar,34.0151,71.5249,0.42,3.84,10.31,0.42,0.19,32.75,24.05,50.49,0.157,9.46,0,0,0
2021-04-28,Peshawar,34.0151,71.5249,0.0,3.46,5.11,1.1,0.08,38.11,31.61,36.43,0.216,18.31,0,1,0
2021-04-29,Peshawar,34.0151,71.5249,0.0,0.05,3.13,0.93,0.63,34.3,26.81,29.72,0.131,28.11,0,0,0
2021-04-30,Peshawar,34.0151,71.5249,0.76,3.12,17.34,0.76,0.09,18.88,12.65,63.45,0.237,6.88,0,0,0
2021-05-01,Peshawar,34.0151,71.5249,0.0,0.14,2.34,0.07,1.29,42.12,33.52,41.63,0.066,17.99,0,1,0
2021-05-02,Peshawar,34.0151,71.5249,0.61,10.89,14.14,0.82,1.05,38.39,28.56,29.79,0.271,7.63,0,1,0
2021-05-03,Peshawar,34.0151,71.5249,0.27,0.47,2.27,1.41,0.34,35.86,29.25,18.89,0.226,16.13,0,0,0
2021-05-04,Peshawar,34.0151,71.5249,0.48,0.66,4.89,0.48,1.4,33.72,26.28,26.65,0.091,19.06,0,0,0
2021-05-05,Peshawar,34.0151,71.5249,0.09,1.93,4.1,2.52,0.55,36.46,26.74,46.96,0.181,14.21,0,0,0
2021-05-06,Peshawar,34.0151,71.5249,1.6,5.65,10.57,1.6,0.29,33.25,24.47,34.7,0.222,14.93,0,0,0
2021-05-07,Peshawar,34.0151,71.5249,1.23,1.51,7.45,2.56,0.53,35.4,27.39,47.95,0.146,12.56,0,0,0
2021-05-08,Peshawar,34.0151,71.5249,0.0,0.05,0.49,3.3,0.64,30.79,22.77,30.3,0.106,13.85,0,0,0
2021-05-09,Peshawar,34.0151,71.5249,0.0,1.93,5.08,0.16,0.05,35.25,25.27,39.06,0.191,12.3,0,0,0
2021-05-10,Peshawar,34.0151,71.5249,0.0,0.31,0.7,0.36,0.09,38.06,28.08,29.07,0.176,24.53,0,1,0
2021-05-11,Peshawar,34.0151,71.5249,0.48,1.98,3.64,0.48,1.74,35.97,28.32,22.43,0.201,21.07,0,0,0
2021-05-12,Peshawar,34.0151,71.5249,0.0,1.08,3.05,0.02,0.24,38.44,31.57,23.22,0.17,19.63,0,1,0
2021-05-13,Peshawar,34.0151,71.5249,0.29,1.51,7.09,0.29,0.54,42.67,34.77,27.06,0.129,2.09,0,1,0
2021-05-14,Peshawar,34.0151,71.5249,1.04,5.49,14.82,1.55,0.3,31.6,22.24,33.9,0.357,10.15,0,0,0
2021-05-15,Peshawar,34.0151,71.5249,1.75,3.78,6.64,1.75,0.58,38.35,29.63,65.83,0.176,16.48,0,1,0
2021-05-16,Peshawar,34.0151,71.5249,0.0,6.27,10.28,0.44,0.28,40.72,33.98,57.37,0.278,20.75,0,1,0
2021-05-17,Peshawar,34.0151,71.5249,0.0,0.17,10.48,0.35,1.17,32.99,26.5,32.46,0.286,19.45,0,0,0
2021-05-18,Peshawar,34.0151,71.5249,0.26,0.34,10.71,1.6,0.28,43.82,34.83,66.99,0.248,23.58,0,1,0
2021-05-19,Peshawar,34.0151,71.5249,0.0,5.26,6.03,0.47,0.45,40.32,33.35,42.22,0.179,12.79,0,1,0
2021-05-20,Peshawar,34.0151,71.5249,0.54,1.21,6.29,1.98,1.5,41.35,33.51,27.8,0.216,20.88,0,1,0
2021-05-21,Peshawar,34.0151,71.5249,0.57,0.96,3.32,4.18,2.22,37.62,28.72,38.71,0.146,19.69,0,1,0
2021-05-22,Peshawar,34.0151,71.5249,1.34,3.98,6.32,1.34,0.57,45.25,35.75,49.35,0.257,20.39,0,1,0
2021-05-23,Peshawar,34.0151,71.5249,0.12,0.14,0.99,1.3,3.84,43.15,36.34,33.66,0.24,18.16,0,1,0
2021-05-24,Peshawar,34.0151,71.5249,0.0,0.88,5.47,0.81,0.0,32.2,25.61,23.41,0.223,12.02,0,0,0
2021-05-25,Peshawar,34.0151,71.5249,0.0,1.19,5.03,2.17,0.72,44.72,38.71,28.74,0.107,25.1,0,1,0
2021-05-26,Peshawar,34.0151,71.5249,0.0,1.77,3.74,1.03,0.05,45.45,37.03,68.3,0.226,19.74,0,1,0
2021-05-27,Peshawar,34.0151,71.5249,1.24,2.62,2.86,1.24,0.33,41.79,33.72,50.23,0.112,13.45,0,1,0
2021-05-28,Peshawar,34.0151,71.5249,0.07,0.25,1.0,0.91,1.06,38.76,31.07,48.65,0.218,19.66,0,1,0
2021-05-29,Peshawar,34.0151,71.5249,0.03,3.69,5.14,0.85,0.71,32.36,26.25,22.38,0.191,0.85,0,0,0
2021-05-30,Peshawar,34.0151,71.5249,2.32,2.93,4.61,2.32,1.48,37.23,29.3,60.86,0.179,29.18,0,1,0
2021-05-31,Peshawar,34.0151,71.5249,0.81,3.71,4.23,0.94,0.12,39.41,33.14,41.82,0.173,13.37,0,1,0
2021-06-01,Peshawar,34.0151,71.5249,0.0,4.73,5.6,0.32,1.14,35.9,29.65,39.79,0.066,22.07,0,0,0
2021-06-02,Peshawar,34.0151,71.5249,1.8,1.85,5.12,3.31,0.66,37.56,30.52,30.94,0.224,4.97,0,1,0
2021-06-03,Peshawar,34.0151,71.5249,0.33,1.58,12.31,0.94,0.34,36.29,29.29,31.87,0.242,24.19,0,0,0
2021-06-04,Peshawar,34.0151,71.5249,0.0,3.93,7.78,0.07,0.98,37.67,29.73,27.56,0.224,22.23,0,1,0
2021-06-05,Peshawar,34.0151,71.5249,0.03,2.14,4.5,0.06,0.57,35.41,26.27,39.12,0.148,8.61,0,0,0
2021-06-06,Peshawar,34.0151,71.5249,0.0,2.83,5.03,0.23,1.68,36.56,28.75,47.67,0.228,14.38,0,0,0
2021-06-07,Peshawar,34.0151,71.5249,0.19,0.41,3.62,1.73,0.38,30.68,21.51,43.01,0.268,23.64,0,0,0
2021-06-08,Peshawar,34.0151,71.5249,0.0,4.94,7.22,0.17,0.95,41.34,31.71,33.58,0.181,11.77,0,1,0
2021-06-09,Peshawar,34.0151,71.5249,1.74,3.87,4.36,1.74,0.76,38.77,30.75,43.62,0.175,18.62,0,1,0
2021-06-10,Peshawar,34.0151,71.5249,0.6,2.62,3.16,2.14,0.45,38.13,30.02,36.0,0.2,17.61,0,1,0
2021-06-11,Peshawar,34.0151,71.5249,0.81,1.23,7.09,1.71,0.62,36.79,27.5,10.67,0.091,10.14,0,0,0
2021-06-12,Peshawar,34.0151,71.5249,1.26,2.08,2.65,1.26,1.4,35.74,28.35,33.84,0.248,12.42,0,0,0
2021-06-13,Peshawar,34.0151,71.5249,0.47,1.34,6.86,0.64,3.09,39.49,32.19,28.15,0.173,16.61,0,1,0
2021-06-14,Peshawar,34.0151,71.5249,1.44,1.95,7.39,1.44,0.82,30.26,23.4,41.89,0.225,16.44,0,0,0
2021-06-15,Peshawar,34.0151,71.5249,0.95,4.06,7.34,0.95,1.9,34.13,26.35,42.25,0.254,14.04,0,0,0
2021-06-16,Peshawar,34.0151,71.5249,0.0,7.53,7.88,0.55,0.03,37.11,27.68,46.33,0.228,12.92,0,1,0
2021-06-17,Peshawar,34.0151,71.5249,1.13,1.17,11.05,1.3,0.29,40.64,34.19,34.2,0.242,29.71,0,1,0
2021-06-18,Peshawar,34.0151,71.5249,0.0,0.02,1.92,0.36,0.73,42.2,36.01,27.04,0.21,28.68,0,1,0
2021-06-19,Peshawar,34.0151,71.5249,0.0,0.16,0.99,1.58,0.03,35.06,25.74,40.54,0.11,16.91,0,0,0
2021-06-20,Peshawar,34.0151,71.5249,1.9,4.12,9.42,2.11,0.68,30.76,23.02,29.68,0.238,25.99,0,0,0
2021-06-21,Peshawar,34.0151,71.5249,0.09,1.95,4.95,0.9,0.97,34.14,26.6,40.45,0.292,13.59,0,0,0
2021-06-22,Peshawar,34.0151,71.5249,0.42,3.14,5.26,1.01,0.06,36.24,30.06,10.0,0.164,9.46,0,0,0
2021-06-23,Peshawar,34.0151,71.5249,0.0,1.32,1.97,0.94,0.26,37.18,31.15,40.1,0.148,8.98,0,1,0
2021-06-24,Peshawar,34.0151,71.5249,0.35,1.79,2.83,2.68,0.4,34.46,27.07,44.03,0.223,15.17,0,0,0
2021-06-25,Peshawar,34.0151,71.5249,0.71,10.58,11.01,0.71,0.4,41.33,32.47,37.28,0.144,22.16,0,1,0
2021-06-26,Peshawar,34.0151,71.5249,2.6,6.05,6.05,2.6,0.04,38.58,29.83,30.78,0.177,7.87,0,1,0
2021-06-27,Peshawar,34.0151,71.5249,0.0,0.26,1.89,1.39,0.06,40.05,31.37,37.48,0.108,26.29,0,1,0
2021-06-28,Peshawar,34.0151,71.5249,0.0,2.02,9.36,0.95,1.66,38.23,31.66,28.83,0.211,13.34,0,1,0
2021-06-29,Peshawar,34.0151,71.5249,0.17,1.89,2.02,0.17,0.65,41.42,32.04,59.31,0.131,29.2,0,1,0
2021-06-30,Peshawar,34.0151,71.5249,0.0,0.73,5.4,0.59,1.28,30.72,22.39,29.6,0.251,1.7,0,0,0
2021-07-01,Peshawar,34.0151,71.5249,3.0,5.81,7.46,3.0,0.37,34.14,28.04,33.55,0.265,26.17,0,0,0
2021-07-02,Peshawar,34.0151,71.5249,0.0,3.16,6.52,3.39,2.23,45.57,39.0,33.07,0.17,14.88,0,1,0
2021-07-03,Peshawar,34.0151,71.5249,9.47,12.38,12.74,9.47,1.18,30.78,21.18,34.68,0.27,12.33,1,0,0
2021-07-04,Peshawar,34.0151,71.5249,4.76,29.57,32.64,9.74,1.18,40.12,33.5,10.0,0.454,32.85,1,1,0
2021-07-05,Peshawar,34.0151,71.5249,4.88,8.36,11.6,4.88,0.52,32.95,23.09,27.02,0.128,20.98,0,0,0
2021-07-06,Peshawar,34.0151,71.5249,0.0,3.52,12.38,2.01,1.23,39.17,30.89,53.49,0.171,18.97,0,1,0
2021-07-07,Peshawar,34.0151,71.5249,0.0,3.87,10.92,0.78,7.98,39.06,29.58,66.54,0.238,11.87,0,1,0
2021-07-08,Peshawar,34.0151,71.5249,4.24,6.18,25.05,8.65,0.39,37.95,28.49,45.86,0.228,25.1,0,1,0
2021-07-09,Peshawar,34.0151,71.5249,0.18,8.79,13.19,2.15,1.63,42.78,33.72,34.95,0.266,15.72,0,1,0
2021-07-10,Peshawar,34.0151,71.5249,0.0,11.54,16.75,5.63,5.37,37.46,29.42,55.05,0.294,50.86,0,1,0
2021-07-11,Peshawar,34.0151,71.5249,2.99,10.69,21.3,2.99,0.85,35.49,28.65,52.94,0.265,63.99,0,0,0
2021-07-12,Peshawar,34.0151,71.5249,4.89,12.98,14.37,4.89,3.52,40.34,31.88,46.74,0.244,7.95,0,1,0
2021-07-13,Peshawar,34.0151,71.5249,1.07,4.21,4.82,1.29,0.28,38.12,30.92,49.13,0.182,8.46,0,1,0
2021-07-14,Peshawar,34.0151,71.5249,3.18,3.49,4.17,3.18,0.84,41.49,31.77,30.55,0.219,13.45,0,1,0
2021-07-15,Peshawar,34.0151,71.5249,1.44,2.98,12.19,11.59,2.22,34.58,25.03,45.03,0.08,16.47,0,0,0
2021-07-16,Peshawar,34.0151,71.5249,2.44,2.89,13.22,2.44,3.0,38.95,30.87,60.55,0.258,10.93,0,1,0
2021-07-17,Peshawar,34.0151,71.5249,1.56,3.57,4.86,2.98,0.13,35.5,28.39,40.23,0.166,16.24,0,0,0
2021-07-18,Peshawar,34.0151,71.5249,0.0,1.7,13.86,1.14,0.26,40.91,33.66,32.68,0.255,16.55,0,1,0
2021-07-19,Peshawar,34.0151,71.5249,6.72,9.56,39.5,6.72,2.79,44.28,35.46,20.08,0.462,24.89,0,1,1
